scenario,step,version,refresh_ms,segments,rss_bytes,active_bytes,retained_bytes
repeated,67,after,61.046541000000005,2,28196864,66020882,94802844
repeated,68,before,78.096958,5,29802496,67369420,691746675
repeated,68,after,66.504667,2,26869760,66021002,95243840
repeated,69,before,82.934333,6,30474240,67810650,693420417
repeated,69,after,58.913208000000004,2,27557888,66021130,95684964
repeated,70,before,75.487583,7,31031296,68251986,695094371
repeated,70,after,68.404458,2,27508736,66021236,96126194
repeated,71,before,82.549333,8,31113216,68693636,696768745
repeated,71,after,56.195167,2,27639808,66021550,96567738
repeated,72,before,889.4778749999999,1,229015552,65606766,762374769
repeated,72,after,70.153875,2,27049984,66021662,97009394
repeated,73,before,80.85225,2,29720576,66048606,764048697
repeated,73,after,59.000583,2,27885568,66021740,97451128
repeated,74,before,75.329,3,29900800,66490558,765722843
repeated,74,after,69.237041,2,27574272,66021852,97892974
repeated,75,before,81.996917,4,30638080,66932632,767397217
repeated,75,after,61.670583,2,28868608,66021974,98334942
repeated,76,before,76.058625,5,29671424,67374807,769071798
repeated,76,after,64.27149999999999,2,28229632,66022075,98777011
repeated,77,before,82.478625,6,30359552,67817084,770746587
repeated,77,after,59.967167,2,28655616,66022177,99219182
repeated,78,before,75.480292,7,29327360,68259476,772421597
repeated,78,after,67.170792,2,28213248,66022292,99661468
repeated,79,before,83.423417,8,31703040,68701974,774096819
repeated,79,after,62.0005,2,27852800,66022398,100103860
repeated,80,before,877.29125,1,227328000,65607438,839703515
repeated,80,after,75.424375,2,29310976,66022516,100546370
repeated,81,before,82.16291700000001,2,28868608,66050124,841378289
repeated,81,after,62.290625000000006,2,27344896,66022586,100988950
repeated,82,before,76.031834,3,29540352,66492870,843053229
repeated,82,after,67.350166,2,28278784,66022646,101431590
repeated,83,before,81.853167,4,31211520,66935679,844728338
repeated,83,after,60.794667,2,27967488,66022709,101874293
repeated,84,before,77.24729099999999,5,29802496,67378570,846403635
repeated,84,after,66.283625,2,27607040,66022791,102317078
repeated,85,before,81.33624999999999,6,29229056,67821529,848079106
