id,family,pattern,matches,short_branch,hash,english,chromium_all,chromium_pairs,hash_change_pct,hash_ci_lo,hash_ci_hi,hash_clear_gain,hash_clear_regression,english_change_pct,english_ci_lo,english_ci_hi,english_clear_gain,english_clear_regression,chromium_all_change_pct,chromium_all_ci_lo,chromium_all_ci_hi,chromium_all_clear_gain,chromium_all_clear_regression
or_two:gather_specific_token_logprobs,or_two,(?:gather|logprobs),7640,False,19.108042,15.614292,15.825584,15.702458,-17.822778492950775,-19.18900987099179,-16.862236546896135,True,False,0.5646493609828607,-0.6982760968088586,1.8507533652456054,False,False,-0.7780186816486512,-1.842722819838405,1.0364021737398144,False,False
or_all:gather_specific_token_logprobs,or_all,(?:gather|specific|token|logprobs),86722,False,70.165167,68.850166,69.324875,69.476792,-0.9810779756285526,-2.0027724286419857,2.052794857618667,False,False,0.9101299770286619,-1.1346532118495456,3.9096908295420008,False,False,0.21913779144930867,-0.29184682180249943,3.185573986503498,False,False
identifier:get_chunk_sizes_across_dp_rank,identifier,get_chunk_sizes_across_dp_rank,7,False,6.781375,6.767417,6.815333,6.716125,-0.9621942452673671,-4.798866813536462,0.9412987779027215,False,False,-0.7579258083253992,-4.418085447675557,1.989946702592671,False,False,-1.455658879764199,-4.775800467604996,2.866868342152662,False,False
or_two:get_chunk_sizes_across_dp_rank,or_two,(?:get|rank),59494,False,59.892709,58.8605,59.866042,59.187875,-1.1768277170431607,-2.736272019009689,-0.5408878466418576,False,False,0.5561879358823019,-0.8825093867255385,1.3479365192128112,False,False,-1.1328074770668883,-1.6465884061959701,-0.42415819285900325,False,False
or_all:get_chunk_sizes_across_dp_rank,or_all,(?:get|chunk|sizes|across|dp|rank),82347,True,90.382416,89.028041,90.127,89.689541,-0.7666037606252951,-2.4097923064681392,-0.03642079066877857,False,False,0.7430243242126489,-0.42309462120140306,1.3832722354499394,False,False,-0.48538062955606476,-1.7477861129588157,0.33197196146934616,False,False
identifier:biased_moe_quant_config,identifier,biased_moe_quant_config,9,False,6.981167,6.66675,6.703042,6.835541,-2.085983618498166,-4.220991738461266,0.3870044563838215,False,False,2.5318333520830905,0.0870612207094501,3.678089023887199,False,False,1.9766995343308391,-0.5997393242346494,4.4279112261601306,False,False
or_two:biased_moe_quant_config,or_two,(?:biased|config),66893,False,56.312917,55.984083,55.756958,56.245,-0.12060643209088617,-0.7711726229568283,1.1934797169499856,False,False,0.4660556822909889,-1.813863967838203,1.466569574388088,False,False,0.8753024151712196,-0.01724930612895248,1.958733892563136,False,False
or_all:biased_moe_quant_config,or_all,(?:biased|moe|quant|config),90963,False,70.214875,69.621625,70.076458,69.949583,-0.3778287720372697,-1.46369894379218,1.5070061790729117,False,False,0.4710576634774144,-0.2842044118959053,2.0465619939804336,False,False,-0.18105224439283196,-1.8121693361212388,1.5854181737892548,False,False
identifier:plan_mla_context_chunks,identifier,plan_mla_context_chunks,3,False,6.811333,6.714708,6.577792,6.480083,-4.863218403798508,-7.213411885710396,-2.498876909254266,False,False,-3.4941951310466512,-5.539089831010968,-0.9492061698401,False,False,-1.4854376666212588,-4.145564434346327,1.6728688927456714,False,False
or_two:plan_mla_context_chunks,or_two,(?:plan|chunks),4108,False,18.442375,18.319458,18.484958,17.869583,-3.1058472675021487,-5.056039349984809,-1.2988619958112735,False,False,-2.4557222162358894,-3.630483911554061,-0.5897929686602632,False,False,-3.3290581455473145,-5.056568050988752,-1.3046577274174909,False,False
or_all:plan_mla_context_chunks,or_all,(?:plan|mla|context|chunks),14709,False,29.948125,29.357792,29.465708,29.188625,-2.5360519231170664,-5.011906343442507,-1.5755043095352472,False,False,-0.5762252147572977,-2.3450094320910497,1.4212415308792137,False,False,-0.940357516608803,-3.1126313530255856,-0.05538437818366493,False,False
identifier:stage_spec_decode_metadata,identifier,stage_spec_decode_metadata,7,False,6.807459,6.8525,6.798833,7.008417,2.952026593182566,0.7764534825984049,5.914651894305645,False,False,2.275330171470258,-0.9769875611774115,3.219515784825955,False,False,3.0826466836293642,-0.13192686867954384,4.1043634805175255,False,False
or_two:stage_spec_decode_metadata,or_two,(?:stage|metadata),23239,False,32.033542,29.345542,29.262416,32.2205,0.5836319942390533,-0.35639591667463444,1.7108868393741705,False,False,9.79691566098866,8.801068037799187,11.124045353831002,False,True,10.108816715612278,9.119343286041559,11.415383473463002,False,True
or_all:stage_spec_decode_metadata,or_all,(?:stage|spec|decode|metadata),56942,False,59.753708,58.516542,58.276917,59.671416,-0.13771865002921713,-1.2545659726436065,1.695318697866921,False,False,1.9735855204841002,0.9177814800507944,3.708371095970442,False,False,2.392883961243175,0.9893754148813771,4.095339062815229,False,False
