dataset,query,category,rg_compatible,matching_lines,baseline_ms,optimized_ms,baseline_no_refresh_ms,optimized_no_refresh_ms,rg_ms,baseline_p95_ms,optimized_p95_ms,change_pct,change_bootstrap_95,baseline_rss_mib,optimized_rss_mib,baseline_no_refresh_rss_mib,optimized_no_refresh_rss_mib,rg_rss_mib
agentflow,todo,ignore case,True,12,5.804375,5.864667,4.621042,4.663542,7.060167,6.325,6.366416,1.0387337137934605,"[-1.9254094735204008, 2.8370021191021833]",9.90625,10.0625,8.671875,8.8125,6.078125
agentflow,short,scan fallback,True,85,6.582875,6.693042,5.285208,5.296417,7.195875,7.483541,7.332084,1.6735392970396834,"[-0.39414442492586854, 3.8285377436498846]",10.140625,10.171875,8.671875,8.734375,5.96875
agentflow,digits,scan fallback,True,81,9.015375,9.027542,7.7555,7.817375,7.648833,9.600792,9.475833,0.1349583350664707,"[-1.468404191666195, 2.611532974978781]",10.796875,10.921875,9.828125,9.890625,6.359375
agentflow,absent,no matches,True,0,5.491833,5.54025,4.140917,4.232791,7.34725,6.006875,6.036917,0.8816182138094986,"[-3.1311460122976698, 4.294547187651232]",9.15625,9.140625,7.578125,7.59375,5.78125
agentflow,literal,fixed string,True,25,5.468916,5.497708,4.266541,4.293959,7.372459,6.349291,6.205875,0.5264663052056306,"[-4.466350112816386, 6.2528984955589895]",9.28125,9.359375,7.78125,7.8125,5.84375
agentflow,icase_literal,ignore case,True,25,6.14975,6.188542,4.883625,4.903667,7.44425,6.802125,6.658333,0.630789869506887,"[-1.3879890516825033, 3.607404333028974]",11.1875,10.78125,10.15625,9.671875,6.0
agentflow,function,function definitions,True,1046,6.640375,6.620708,5.318833,5.271708,7.162083,7.103541,7.267541,-0.2961730323965184,"[-3.57911701380752, 2.209570577505815]",10.0625,10.109375,8.921875,8.9375,6.234375
agentflow,class,class definitions,True,198,6.285334,6.438542,5.172292,5.14875,8.933459,6.757208,7.072292,2.437547471622037,"[-0.7192686840156504, 6.915269285872827]",10.828125,11.03125,9.734375,9.890625,6.484375
agentflow,import,imports,True,499,6.744625,6.851791,5.604667,5.596375,7.913875,7.362708,7.604875,1.5889096873436204,"[-1.3185082684948557, 3.6875367009068905]",12.015625,12.140625,10.875,11.0625,7.078125
agentflow,decorator,escaped punctuation,True,199,6.7785,6.886167,5.538709,5.5845,23.626458,7.203291,7.440917,1.5883602566939548,"[-0.0030237867346460945, 4.735161720586034]",11.046875,11.015625,10.015625,10.140625,6.578125
agentflow,async,whitespace,True,454,6.574958,6.598417,5.334,5.364333,7.851583,7.08125,7.125042,0.3567931536597069,"[-2.6548840983273925, 4.636788558257776]",11.765625,11.9375,10.6875,10.890625,6.921875
agentflow,db,alternation,True,525,6.79025,6.78625,5.692583,5.62325,7.425542,7.613875,7.225333,-0.05890799307831651,"[-3.6165325729145548, 4.4385899172916465]",11.65625,12.0,10.75,10.96875,6.515625
agentflow,test,test definitions,True,224,6.396875,6.362917,5.085542,5.020834,7.462041,6.959208,7.01575,-0.5308529555446917,"[-3.008409262229772, 3.2775379738078314]",11.203125,11.15625,10.046875,10.015625,6.71875
agentflow,common_files,common / files,True,58,5.983458,6.094833,4.823166,4.667875,7.2895,6.438833,6.57325,1.8613818297045004,"[-2.0922568889279014, 5.277018843955128]",9.703125,9.796875,8.265625,8.3125,5.890625
