repository,step,commit,current_phase,main_phase,current_ms,no_sync_ms,main_ms,rg_ms,middle_before_update_mib,middle_entering_merge_mib,middle_after_update_mib,base_after_mib,main_middle_after_mib
viberwhisper,81,fc5d74271283608392878caf8f0d256451681544,incremental,rebuild,30.066916,12.644375,23.601416999999998,7.571041,3.1144399642944336,,3.57241153717041,0.0704498291015625,0.0
viberwhisper,82,25aa9fd3d5eec3165fe03c552c6daef1d71270b5,incremental,incremental,28.964625,10.127374999999999,10.994792,7.095083000000001,3.57241153717041,,3.8794679641723633,0.0704498291015625,0.3154621124267578
viberwhisper,83,924ca3ba54e2832cb752fb03311f97425428f15e,middle_merge,incremental,44.214375,21.046374999999998,10.205667,6.586583,3.8794679641723633,4.166632652282715,3.3935012817382812,0.0704498291015625,0.5952119827270508
viberwhisper,84,a4a44916007f80106e15c34021d4b4a15904239f,incremental,incremental,28.161917000000003,11.148375,11.497458,7.460208000000001,3.3935012817382812,,3.774923324584961,0.0704498291015625,0.9804916381835938
viberwhisper,85,2c685d9d3ba933fa5e7e99e24ebd12155bc84f23,incremental,incremental,33.940458,14.373875,14.413499999999999,8.940125,3.774923324584961,,4.450264930725098,0.0704498291015625,1.6082258224487305
viberwhisper,86,426f7f7f387a03f415e753c4575e976580f0c65b,middle_merge,incremental,49.913208,21.253375000000002,12.028,7.6541250000000005,4.450264930725098,4.684572219848633,3.798098564147949,0.0704498291015625,1.8395977020263672
viberwhisper,87,2fee0a2218e285a4c18a5b3503ea2849a05d2ea9,incremental,incremental,30.156665999999998,10.443624999999999,11.240791999999999,8.107750000000001,3.798098564147949,,4.063309669494629,0.0704498291015625,2.1011781692504883
viberwhisper,88,2afe57be7d9a6b88128a3f108339e75afc52c99e,incremental,incremental,27.812791999999998,9.906165999999999,10.085291,7.799666,4.063309669494629,,4.162839889526367,0.0704498291015625,2.188021659851074
viberwhisper,89,a1f40ed5be5746284a79cdfd785cdc6ce7cb88f4,middle_merge,rebuild,34.560041999999996,10.655875,26.020333,8.933625000000001,4.162839889526367,4.198823928833008,4.170196533203125,0.0704498291015625,0.0
viberwhisper,90,c829976a2d0c8dac44309f13deaedd5c46323f05,middle_merge,incremental,38.576209,12.743,9.912791,9.340791,4.170196533203125,4.2462921142578125,4.149100303649902,0.0704498291015625,0.07290935516357422
viberwhisper,91,f01e3331ee68a3848f8be454476c0cad579a4489,incremental,incremental,28.077958,10.923042,10.1205,7.284541,4.149100303649902,,4.313196182250977,0.0704498291015625,0.2235097885131836
viberwhisper,92,e10a53e0e3151392767d7e3a01e3a64906fd246f,middle_merge,incremental,42.751875,16.731458,10.218292,9.167541,4.313196182250977,4.452871322631836,3.7091894149780273,0.0704498291015625,0.3498973846435547
