repository,sequence,step,commit,version,phase,wall_ms,base_bytes,incremental_bytes,segments,rg_wall_ms
viberwhisper,updates,22,818ad374473f4bf1f2d8091255e636c1a384f202,direct,merge,9.311542000000001,327935,0,1,5.741959
viberwhisper,updates,23,4d626065eaaecbcbdef4404bc82f1bbfe4d0a9a6,main,incremental,7.738167,173124,351897,7,5.843375
viberwhisper,updates,23,4d626065eaaecbcbdef4404bc82f1bbfe4d0a9a6,direct,merge,8.894208,327874,0,1,5.843375
viberwhisper,updates,23,4d626065eaaecbcbdef4404bc82f1bbfe4d0a9a6,current,incremental,7.838542,73872,1108054,23,5.843375
viberwhisper,updates,24,388998fc20daf746b54f21fef362d439093ba4a9,main,incremental,7.924250000000001,173124,422191,8,5.829875
viberwhisper,updates,24,388998fc20daf746b54f21fef362d439093ba4a9,direct,merge,9.44025,375018,0,1,5.829875
viberwhisper,updates,24,388998fc20daf746b54f21fef362d439093ba4a9,current,incremental,8.285582999999999,73872,1193280,24,5.829875
viberwhisper,updates,25,ca0c6265d36398ac7d9cb209b3abbd71cec126a6,direct,merge,8.726083000000001,375010,0,1,5.8805000000000005
viberwhisper,updates,25,ca0c6265d36398ac7d9cb209b3abbd71cec126a6,current,incremental,8.032375,73872,1203230,25,5.8805000000000005
viberwhisper,updates,25,ca0c6265d36398ac7d9cb209b3abbd71cec126a6,main,rebuild,12.793583,346219,0,1,5.8805000000000005
viberwhisper,updates,26,b424f4d7f12a06682d85530d65a6c99245d86066,current,incremental,7.752041,73872,1208920,26,5.875208
viberwhisper,updates,26,b424f4d7f12a06682d85530d65a6c99245d86066,main,incremental,6.841375,346219,5690,2,5.875208
viberwhisper,updates,26,b424f4d7f12a06682d85530d65a6c99245d86066,direct,merge,8.640334,375681,0,1,5.875208
viberwhisper,updates,27,c6becc366e6cfaee7ac31a1d9a83bfdfe03662a1,main,incremental,7.504959,346219,77374,3,4.42675
viberwhisper,updates,27,c6becc366e6cfaee7ac31a1d9a83bfdfe03662a1,direct,merge,9.415916999999999,377058,0,1,4.42675
viberwhisper,updates,27,c6becc366e6cfaee7ac31a1d9a83bfdfe03662a1,current,incremental,8.392125,73872,1295869,27,4.42675
viberwhisper,updates,28,d2f57924db3a392b3927d72fc4053a1840324eeb,main,incremental,7.4822500000000005,346219,165799,4,5.798625
viberwhisper,updates,28,d2f57924db3a392b3927d72fc4053a1840324eeb,direct,merge,9.727542,406221,0,1,5.798625
viberwhisper,updates,28,d2f57924db3a392b3927d72fc4053a1840324eeb,current,incremental,9.153542,73872,1391805,28,5.798625
viberwhisper,updates,29,7eb6ff3cda3bb89e776d064493cdcdd7854cefb5,direct,merge,9.643334,445568,0,1,5.740583
viberwhisper,updates,29,7eb6ff3cda3bb89e776d064493cdcdd7854cefb5,current,incremental,8.711125000000001,73872,1467087,29,5.740583
viberwhisper,updates,29,7eb6ff3cda3bb89e776d064493cdcdd7854cefb5,main,incremental,7.663875,346219,229072,5,5.740583
viberwhisper,updates,30,f448b2d0296b525a1a2bd9871b5dfe157837b77e,current,incremental,8.37725,73872,1565462,30,5.759208
viberwhisper,updates,30,f448b2d0296b525a1a2bd9871b5dfe157837b77e,main,incremental,8.228875,346219,319984,6,5.759208
viberwhisper,updates,30,f448b2d0296b525a1a2bd9871b5dfe157837b77e,direct,merge,10.715417,443452,0,1,5.759208
viberwhisper,updates,31,47aa14a31e08daa17ee6c2f9465a0327463b0fab,main,incremental,9.292875,346219,534459,7,5.8618749999999995
viberwhisper,updates,31,47aa14a31e08daa17ee6c2f9465a0327463b0fab,direct,merge,11.622416999999999,494280,0,1,5.8618749999999995
viberwhisper,updates,31,47aa14a31e08daa17ee6c2f9465a0327463b0fab,current,incremental,10.257541,73872,1795599,31,5.8618749999999995
viberwhisper,updates,32,753674caaceb5c4961ef66eed5704e1d649b7944,main,incremental,7.874417,346219,585928,8,5.899917
viberwhisper,updates,32,753674caaceb5c4961ef66eed5704e1d649b7944,direct,merge,9.997833,494943,0,1,5.899917
viberwhisper,updates,32,753674caaceb5c4961ef66eed5704e1d649b7944,current,incremental,9.159458,73872,1850039,32,5.899917
viberwhisper,updates,33,85c0a03404aafa681eeaecbe9b6031ea23e870a9,direct,merge,9.710666999999999,496556,0,1,5.832917
viberwhisper,updates,33,85c0a03404aafa681eeaecbe9b6031ea23e870a9,current,incremental,8.468333999999999,73872,1860001,33,5.832917
viberwhisper,updates,33,85c0a03404aafa681eeaecbe9b6031ea23e870a9,main,rebuild,13.694958999999999,455439,0,1,5.832917
viberwhisper,updates,34,82e358202daf483fe9cff04df1576e8c0774c0fe,current,incremental,7.998125,73872,1879162,34,7.06125
viberwhisper,updates,34,82e358202daf483fe9cff04df1576e8c0774c0fe,main,incremental,7.182625,455439,19161,2,7.06125
viberwhisper,updates,34,82e358202daf483fe9cff04df1576e8c0774c0fe,direct,merge,9.985707999999999,497397,0,1,7.06125
viberwhisper,updates,35,bae4d1c33f4aa6861eff871586691f605c8c6607,main,incremental,7.979,455439,101854,3,5.799124999999999
viberwhisper,updates,35,bae4d1c33f4aa6861eff871586691f605c8c6607,direct,merge,10.335042,525538,0,1,5.799124999999999
viberwhisper,updates,35,bae4d1c33f4aa6861eff871586691f605c8c6607,current,incremental,8.880458,73872,1967530,35,5.799124999999999
viberwhisper,updates,36,db89a4ffe88c7eb76738fc063783ebfbe83f79ed,main,incremental,7.527749999999999,455439,159481,4,5.738209
viberwhisper,updates,36,db89a4ffe88c7eb76738fc063783ebfbe83f79ed,direct,merge,10.067167,545040,0,1,5.738209
viberwhisper,updates,36,db89a4ffe88c7eb76738fc063783ebfbe83f79ed,current,incremental,9.544917,73872,2034399,36,5.738209
viberwhisper,updates,37,dc25e2ec2895d5ad7e5053e60152b64383bfdc55,direct,merge,10.377666000000001,547026,0,1,5.684666
viberwhisper,updates,37,dc25e2ec2895d5ad7e5053e60152b64383bfdc55,current,incremental,9.386458000000001,73872,2075971,37,5.684666
viberwhisper,updates,37,dc25e2ec2895d5ad7e5053e60152b64383bfdc55,main,incremental,7.823250000000001,455439,196094,5,5.684666
viberwhisper,updates,38,254eb4f930486011f2a75ccefe50246990566007,current,incremental,8.372,73872,2088711,38,5.904291
viberwhisper,updates,38,254eb4f930486011f2a75ccefe50246990566007,main,incremental,7.30575,455439,208834,6,5.904291
viberwhisper,updates,38,254eb4f930486011f2a75ccefe50246990566007,direct,merge,10.230042,547152,0,1,5.904291
viberwhisper,updates,39,34f2e69fafa4addbc26e12e61fd6e32dc450cb78,main,incremental,9.109417,455439,411559,7,5.708292
viberwhisper,updates,39,34f2e69fafa4addbc26e12e61fd6e32dc450cb78,direct,merge,12.358625,581019,0,1,5.708292
viberwhisper,updates,39,34f2e69fafa4addbc26e12e61fd6e32dc450cb78,current,incremental,10.3445,73872,2304954,39,5.708292
viberwhisper,updates,40,979ec658d60f051e7b45fd1fabd7e9036f7ea6b5,main,incremental,7.4962919999999995,455439,425134,8,6.9887500000000005
viberwhisper,updates,40,979ec658d60f051e7b45fd1fabd7e9036f7ea6b5,direct,merge,10.267083,581017,0,1,6.9887500000000005
viberwhisper,updates,40,979ec658d60f051e7b45fd1fabd7e9036f7ea6b5,current,incremental,9.096541,73872,2318529,40,6.9887500000000005
viberwhisper,updates,41,42ca56baa5fa6d860b6c9ba1799da2ac7c398fbf,direct,merge,10.682083,618968,0,1,5.887667
viberwhisper,updates,41,42ca56baa5fa6d860b6c9ba1799da2ac7c398fbf,current,incremental,10.03125,73872,2379886,41,5.887667
viberwhisper,updates,41,42ca56baa5fa6d860b6c9ba1799da2ac7c398fbf,main,rebuild,13.644167000000001,560380,0,1,5.887667
viberwhisper,updates,42,f3edc30c20aca6ed8954c34aa9a415b4ffbb894f,current,incremental,9.808124999999999,73872,2411951,42,6.375834
viberwhisper,updates,42,f3edc30c20aca6ed8954c34aa9a415b4ffbb894f,main,incremental,8.046833,560380,32065,2,6.375834
viberwhisper,updates,42,f3edc30c20aca6ed8954c34aa9a415b4ffbb894f,direct,merge,10.910667,625992,0,1,6.375834
viberwhisper,updates,43,ff77251f22b3f8493e7ac03378f521b96439049b,main,incremental,7.092458000000001,560380,33333,3,5.947792000000001
viberwhisper,updates,43,ff77251f22b3f8493e7ac03378f521b96439049b,direct,merge,10.020375,626536,0,1,5.947792000000001
viberwhisper,updates,43,ff77251f22b3f8493e7ac03378f521b96439049b,current,incremental,8.898709,73872,2413465,43,5.947792000000001
viberwhisper,updates,44,3de86ad4a38d8fdf89c084771415f85d8a9fbab1,main,incremental,9.922500000000001,560380,356128,4,6.253667
viberwhisper,updates,44,3de86ad4a38d8fdf89c084771415f85d8a9fbab1,direct,merge,14.629916999999999,836615,0,1,6.253667
viberwhisper,updates,44,3de86ad4a38d8fdf89c084771415f85d8a9fbab1,current,incremental,11.840625000000001,73872,2750129,44,6.253667
viberwhisper,updates,45,c52fd04115362f250c37d2d17c649fe4bbac934b,direct,merge,13.003041,858104,0,1,7.35125
viberwhisper,updates,45,c52fd04115362f250c37d2d17c649fe4bbac934b,current,incremental,10.48325,73872,2854085,45,7.35125
viberwhisper,updates,45,c52fd04115362f250c37d2d17c649fe4bbac934b,main,incremental,8.557416,560380,460084,5,7.35125
viberwhisper,updates,46,4c1a64d129f070b1540eb3cd785b13d407125559,current,incremental,11.103916,73872,3140379,46,6.572749999999999
viberwhisper,updates,46,4c1a64d129f070b1540eb3cd785b13d407125559,main,incremental,9.871292,560380,729790,6,6.572749999999999
viberwhisper,updates,46,4c1a64d129f070b1540eb3cd785b13d407125559,direct,merge,14.865791999999999,868635,0,1,6.572749999999999
viberwhisper,updates,47,8f3e1fe7c8f2c34c3ed405bd8bddd3a90a0659ad,main,incremental,8.606417,560380,766980,7,6.985167
viberwhisper,updates,47,8f3e1fe7c8f2c34c3ed405bd8bddd3a90a0659ad,direct,merge,13.049958,873090,0,1,6.985167
viberwhisper,updates,47,8f3e1fe7c8f2c34c3ed405bd8bddd3a90a0659ad,current,incremental,9.977082999999999,73872,3186681,47,6.985167
