dataset,query,pattern,before_ms,after_ms,before_no_refresh_ms,after_no_refresh_ms,rg_ms
few_large_64,rare_lines,CODERG_BENCHMARK_NEEDLE,6.267333,6.16475,4.721709,5.344458,8.348875
few_large_64,common_files,ordinary_value,15.166542,15.01725,14.035708,14.406125,7.507334
few_large_64,common_count,ordinary_value,15.250041,15.38125,14.256917,14.186,9.655583
few_large_64,alternation,\b(module_7|module_23)\b,11.66325,8.298625,10.615083,6.938,10.545458
few_large_64,ignore_case,coderg_benchmark_needle,5.986709,7.063083,5.645833,6.116083,9.000125
few_large_64,short_files,fn,15.617834,15.154959,14.267958,14.1235,7.291458
few_large_64,absent,CODERG_WIDE_ABSENT_92be7,5.077125,5.663292,4.890584,4.915709,8.32925
shared_anchor,rare_files,CODERG_BENCHMARK_NEEDLE,6.157333,6.298583,4.5665,4.321791,10.280417
shared_anchor,rare_lines,CODERG_BENCHMARK_NEEDLE,6.186292,6.288667,4.59125,4.395833,10.17725
shared_anchor,common_files,ordinary_value,14.459208,14.411125,12.970791,12.774833,13.75575
shared_anchor,common_count,ordinary_value,14.5755,14.400833,12.831667,12.838916,13.40925
shared_anchor,alternation,\b(module_7|module_23)\b,6.643,6.333666,5.05225,4.808042,9.974333
shared_anchor,ignore_case,coderg_benchmark_needle,6.605458,6.761959,5.102667,5.280083,10.494792
shared_anchor,short_files,fn,9.863625,9.788083,8.111041,8.035167,9.482167
shared_anchor,absent,CODERG_WIDE_ABSENT_92be7,6.293875,6.15375,4.399583,4.56875,9.367916
