pair,count,probability_pct,independent_probability_pct,actual_over_independent,weight_frequency
bs,1657894,0.11175677702788216,0.13643112000000002,0.8191443200633561,11175678
bt,184874,0.012462149206313965,0.18878636000000001,0.06601191530105228,1246215
bu,3359017,0.22642757251179244,0.06269277000000001,3.611701516965871,22642757
bv,164039,0.011057685199944484,0.02567187,0.4307315828548713,1105769
bw,60119,0.004052554432393897,0.02227323,0.18194731668437386,405255
bx,46355,0.003124738613643259,0.0352002,0.08877047896441664,312474
by,1711061,0.11534070492932906,0.02397255,4.8113657049137055,11534070
bz,35871,0.0024180239199654264,0.00523957,0.4614928171520614,241802
ca,6848932,0.4616788325448593,0.36567816999999997,1.2625277372856556,46167883
cb,275559,0.018575123452419864,0.08967959,0.20712765805931835,1857512
cc,1680683,0.11329295798498099,0.19651489000000003,0.5765108078323274,11329296
cd,602074,0.04058513377350127,0.18153135,0.2235709356731015,4058513
ce,9117482,0.6145992463509302,0.51458264,1.1943645171374808,61459925
cf,301653,0.020334090756581383,0.09535383,0.21324880979171348,2033409
cg,154923,0.010443185853553114,0.08733010000000001,0.11958289127749899,1044319
ch,8256694,0.556574491701793,0.09561981,5.8207027571147965,55657449
ci,1288091,0.08682877112687648,0.30804917,0.28186659657896973,8682877
cj,50869,0.003429022296136748,0.01050621,0.32638052124760003,342902
ck,4682031,0.31561046394077796,0.04348773,7.257460068409594,31561046
cl,4617033,0.31122902158483823,0.20032727000000003,1.5536028698680824,31122902
cm,276148,0.018614827282501537,0.11964667,0.15558165791410272,1861483
cn,101644,0.006851708157591531,0.29426254,0.023284337033152542,685171
co,16185398,1.0910395449851014,0.28672644,3.8051584813214343,109103954
cp,739646,0.04985870815719517,0.1347632,0.36997272369011097,4985871
cq,86753,0.005847922531536914,0.013254670000000001,0.4411971427079598,584792
cr,4002590,0.26981010737962186,0.29944915,0.9010214501514594,26981011
cs,1159698,0.07817394284898846,0.29896152,0.26148496585442993,7817394
ct,8660056,0.5837646721931397,0.41368756,1.411124550598378,58376467
cu,2371257,0.15984377760267227,0.13737866999999998,1.163526896880515,15984378
cv,87512,0.005899085871149798,0.056254769999999996,0.10486374526373139,589909
cw,99550,0.0067105539637188315,0.048807329999999996,0.13749069993623564,671055
cx,53389,0.0035988926727170737,0.0771342,0.04665754843787936,359889
cy,956393,0.06446938058285227,0.05253105,1.2272623635516953,6446938
cz,51928,0.003500408299628242,0.01148147,0.3048745761325198,350041
da,5382567,0.3628328108169983,0.33779655,1.0741163899305612,36283281
db,734937,0.04954127974318058,0.08284185,0.5980223732712461,4954128
dc,925669,0.06239831016616421,0.18153135,0.3437329704547683,6239831
dd,1721485,0.11604337509023116,0.16769025,0.6920102694714282,11604338
de,15375401,1.0364385547394925,0.47534760000000004,2.1803803253440064,103643855
df,713183,0.04807486697646296,0.08808345,0.5457877385191311,4807487
dg,497445,0.03353221011031757,0.0806715,0.41566364961997204,3353221
dh,161163,0.010863817262228207,0.08832915,0.12299243525187559,1086382
di,7653268,0.5158982211230788,0.28456155,1.8129582901241537,51589822
dj,81486,0.005492879962708114,0.00970515,0.565975792513059,549288
dk,103949,0.007007085625058853,0.04017195,0.17442732117955073,700709
dl,1263855,0.08519504952100315,0.18505305,0.46038176361320793,8519505
dm,375607,0.02531924703817719,0.11052404999999998,0.22908359798774286,2531925
dn,284593,0.019184095270684414,0.2718261,0.07057488324588557,1918410
do,3707088,0.2498906486414316,0.2648646,0.9434656373159402,24989065
dp,500871,0.0337631529318113,0.124488,0.27121612470126677,3376315
dq,111918,0.0075442669865543365,0.012244050000000001,0.6161578061633476,754427
dr,1726443,0.116377588315265,0.27661725,0.42071703162136487,11637759
ds,1654941,0.11155771860643704,0.2761668,0.40395050602185717,11155772
dt,1005319,0.06776742742593522,0.3821454,0.17733414408739506,6776743
du,1237055,0.0833884915478473,0.12690405000000002,0.6570987415125624,8338849
dv,237818,0.0160310449276111,0.05196555,0.30849370260896114,1603104
dw,245775,0.01656741738255144,0.04508595,0.36746297643836806,1656742
dx,105022,0.007079415352864682,0.071253,0.09935603206692607,707942
dy,554376,0.03736986503456144,0.04852575,0.7701038115755333,3736987
dz,50869,0.003429022296136748,0.01060605,0.3233081398010332,342902
ea,6651252,0.44835344522644704,0.9575439200000001,0.4682327733086614,44835345
eb,2219205,0.14959412264243746,0.23482984,0.6370320000321827,14959412
ec,9491773,0.6398297833035599,0.51458264,1.2433955861852624,63982978
ed,11778329,0.793963961395625,0.47534760000000004,1.670280782727471,79396396
ee,2394039,0.16137948669761393,1.34745664,0.11976599610479037,16137949
ef,4099849,0.2763662276001877,0.24968808000000003,1.1068458998931294,27636623
eg,1876816,0.1265140637666592,0.22867759999999998,0.5532420480478157,12651406
eh,443590,0.029901904899709054,0.25038456,0.11942391695282271,2990190
ei,1698974,0.11452593380165985,0.80663992,0.14197900570264346,11452593
ej,171795,0.011580508470086154,0.027510959999999997,0.42094163453715006,1158051
ek,377162,0.025424067845947987,0.11387448,0.22326396437505566,2542407
el,7734829,0.5213961567517565,0.52456552,0.9939581174754996,52139616
em,5175357,0.3488650168760422,0.31329992,1.1135177336656907,34886502
en,18759181,1.264535373336705,0.77053904,1.6411048729428495,126453537
eo,1066807,0.07191226461449518,0.75080544,0.09578015925736391,7191226
ep,2392443,0.16127190212577974,0.3528832,0.457012127881916,16127190
eq,2359969,0.15908286616979977,0.034707919999999996,4.583474497169515,15908287
er,27648392,1.863747127333521,0.7841203999999999,2.3768634604246,186374713
es,20016654,1.3493002193881307,0.7828435200000001,1.7235886673598964,134930022
et,13513887,0.9109559816484017,1.08325856,0.8409404876047337,91095598
eu,608495,0.04101796618938313,0.35973192,0.11402370462255096,4101797
ev,2828586,0.19067181309914208,0.14730552000000002,1.2943969316230788,19067181
ew,2543124,0.1714291395120893,0.12780408000000001,1.3413432459440207,17142914
ex,6886083,0.4641831398307068,0.2019792,2.2981729793498875,46418314
ey,1376253,0.09277167276976327,0.1375548,0.6744342819717178,9277167
ez,174476,0.011761231676281335,0.03006472,0.39119711330361084,1176123
fa,3394086,0.2287915345103224,0.17743599,1.2894313859906459,22879153
fb,192137,0.01295173989881512,0.04351473,0.29764035991525445,1295174
fc,302321,0.02037911988815109,0.09535383,0.2137210418097636,2037912
fd,413719,0.027888334257315833,0.08808345,0.3166126469537221,2788833
fe,2828438,0.19066183658496197,0.24968808000000003,0.7636000748812757,19066184
ff,2315318,0.156072992286987,0.04626801,3.3732376276175917,15607299
fg,156419,0.010544029537427784,0.0423747,0.24882841736762232,1054403
fh,62970,0.00424473714812029,0.04639707,0.09148718115433345,424474
fi,6271997,0.422788290595506,0.14947299,2.828526348442658,42278829
fj,31082,0.0020952027955832117,0.00509787,0.41099572872262563,209520
fk,47520,0.0032032699583718622,0.02110131,0.15180431728512883,320327
fl,1177852,0.07939768364916276,0.09720369,0.8168175883977529,7939768
fm,102335,0.00689828769339193,0.05805549,0.11882231453721138,689829
fn,369216,0.024888436888683196,0.14278338,0.17430906096131912,2488844
fo,5542082,0.3735855382456533,0.13912668,2.6852185234755357,37358554
fp,151328,0.010200850931407768,0.0653904,0.15599921290293023,1020085
fq,43899,0.0029591824053570364,0.006431490000000001,0.46010837385380937,295918
fr,2338569,0.1576403161464589,0.14530005000000001,1.0849295381967101,15764032
fs,663212,0.04470637785420285,0.14506344000000002,0.30818501101451096,4470638
ft,758467,0.051127410680059576,0.20073132,0.2547056965502921,5112741
fu,1152865,0.07771333797471332,0.06665949,1.1658255707433902,7771334
fv,45135,0.003042499780536911,0.027296189999999998,0.1114624341542505,304250
fw,54129,0.0036487752436176455,0.02368251,0.15407046143409825,364878
fx,255913,0.017250808603889275,0.0374274,0.46091389206541933,1725081
fy,365460,0.024635249136922995,0.02548935,0.9664918539281305,2463525
fz,23237,0.0015663801351575538,0.00557109,0.28116223847712996,156638
ga,1776964,0.11978315232130256,0.1625053,0.7371030503085287,11978315
gb,354283,0.023881820089685573,0.039853099999999995,0.5992462340366389,2388182
gc,389342,0.02624510799941956,0.08733010000000001,0.3005276302147777,2624511
gd,188439,0.01270246186207145,0.0806715,0.15745910094731658,1270246
ge,9283977,0.6258224877591609,0.22867759999999998,2.7367021857810334,62582249
gf,350607,0.023634025048293,0.0423747,0.5577390529795611,2363403
gg,685403,0.04620224830130365,0.038809,1.190503447687486,4620225
gh,1276619,0.08605545646015843,0.0424929,2.0251725926015505,8605546
gi,2051242,0.13827192499896077,0.1368953,1.0100560428222207,13827192
gj,50624,0.0034125071206358827,0.0046689,0.7309017371620473,341251
gk,64886,0.004373892561425014,0.0193257,0.22632518156780937,437389
gl,1509308,0.10174076124432488,0.0890243,1.1428425861739422,10174076
gm,349753,0.02357645786511856,0.053170300000000004,0.44341404628370645,2357646
gn,1162483,0.07836167657866155,0.13076859999999998,0.5992392407555145,7836168
go,1382843,0.09321589728629674,0.1274196,0.7315663939166088,9321590
gp,396770,0.02674582115705395,0.059888,0.44659733430827464,2674582
gq,60771,0.004096505021890077,0.0058903,0.6954662787786831,409651
gr,2303984,0.15530898004565313,0.1330735,1.1670917203323963,15530898
gs,1330109,0.08966115742971463,0.1328568,0.6748706684920502,8966116
gt,649976,0.043814153923878565,0.18384040000000001,0.23832712463570882,4381415
gu,1034658,0.06974513654438372,0.061050299999999995,1.1424208651617391,6974514
gv,124048,0.008361936696046143,0.024999300000000002,0.334486833473183,836194
gw,95960,0.006468556085971462,0.0216897,0.29823169919231074,646856
gx,29805,0.0020091216563399273,0.034278,0.058612569471378946,200912
gy,94466,0.0063678472198559835,0.0233445,0.2727771946221158,636785
gz,46508,0.00313505217222135,0.005102300000000001,0.6144390122535621,313505
ha,5160596,0.34786999440433497,0.17793093000000001,1.955084449928604,34786999
hb,141051,0.009508089875806177,0.04363611,0.21789499283520408,950809
hc,174522,0.01176433248474272,0.09561981,0.12303237670878786,1176433
hd,174065,0.011733526626767639,0.08832915,0.13283866794560617,1173353
he,10042306,0.6769405960138363,0.25038456,2.703603592864657,67694060
hf,101756,0.006859257952106212,0.04639707,0.14783817064539231,685926
hg,59194,0.003990201218768182,0.0424929,0.09390277478750995,399020
hh,129404,0.008722978655158932,0.04652649,0.18748413334336916,872298
hi,4052114,0.2731484647327029,0.14988993,1.8223269884287947,27314846
hj,51452,0.003468321672940847,0.00511209,0.6784547363095812,346832
hk,59386,0.004003143723650493,0.02116017,0.18918296609386845,400314
hl,150259,0.01012879083912032,0.09747483,0.10391185949357717,1012879
hm,336128,0.022658011880631677,0.058217429999999994,0.38919636061969204,2265801
hn,112220,0.007564624468192138,0.14318166,0.05283235624026245,756462
ho,3174308,0.21397654577061173,0.13951476,1.5337197710881034,21397655
hp,172957,0.011658837588175971,0.0655728,0.1777999046582725,1165884
hq,50042,0.003373275152711379,0.006449430000000001,0.5230346174330722,337328
hr,3111801,0.20976301893374408,0.14570535,1.439638413646061,20976302
hs,320808,0.021625307845230646,0.14546808,0.1486601586082022,2162531
ht,3024377,0.20386986504399868,0.20129124,1.0128104185954574,20386987
hu,370254,0.024958407305703187,0.06684543,0.37337492339720435,2495841
hv,59811,0.004031792497478524,0.02737233,0.1472944574860278,403179
hw,88174,0.005943710549441931,0.02374857,0.25027656610237714,594371
hx,21868,0.001474097378991496,0.0375318,0.03927595742787439,147410
hy,123103,0.008298235304828521,0.02556045,0.3246513776098825,829824
hz,44510,0.0030003692307898062,0.0055866299999999995,0.5370624563985454,300037
ia,3151089,0.2124113789952869,0.57322301,0.37055626743819453,21241138
ib,1546790,0.10426738086931844,0.14057827,0.7417034003144188,10426738
ic,8098840,0.5459337304221459,0.30804917,1.7722291880291248,54593373
id,10692111,0.720743223019304,0.28456155,2.5328201333571037,72074322
ie,4456738,0.3004237152300988,0.80663992,0.3724384422111155,30042372
if,3870433,0.2609015520789369,0.14947299,1.7454762367363954,26090155
ig,3818838,0.2574235909362139,0.1368953,1.8804414098673505,25742359
ih,127052,0.008564432970350628,0.14988993,0.05713814777517494,856443
ii,228679,0.015414995176989037,0.48288601000000003,0.03192263776080205,1541500
ij,180818,0.012188738790675155,0.016469130000000002,0.7400960943702038,1218874
ik,341857,0.023044197351833537,0.06816968999999999,0.3380416920164011,2304420
il,6550150,0.44153827268159623,0.31402531,1.4060595073740911,44153827
im,4762406,0.3210284526382556,0.18755351,1.7116632615313656,32102845
in,25964732,1.7502534931139848,0.46127462,3.794384987220812,175025349
io,16224133,1.093650627936228,0.44946132,2.4332474882070567,109365063
ip,2343258,0.1579563963828816,0.2112496,0.7477240022366034,15795640
iq,462149,0.03115294629611948,0.02077751,1.4993589846001507,3115295
